Sequence,RES_OCC_SCH,RES_LIGHT_SCH,RES_EQP_SCH
516,0.25,0.119,0.7
517,0.25,0.119,0.69
518,0.25,0.119,0.66
519,0.25,0.119,0.65
520,0.25,0.206,0.68
521,0.3,0.439,0.8
522,0.52,0.616,1
523,0.87,0.829,1
524,0.87,0.986,0.93
525,0.87,1,0.89
526,1,0.692,0.85
527,1,0.384,0.71
528,1,0.16,0.58
529,1,0.067,0.45
530,1,0.067,0.41
531,1,0.067,0.39
532,1,0.067,0.38
533,1,0.187,0.38
534,1,0.394,0.43
535,1,0.44,0.54
536,0.85,0.393,0.65
537,0.39,0.172,0.66
538,0.25,0.119,0.67
539,0.25,0.119,0.69
540,0.25,0.119,0.7
541,0.25,0.119,0.69
542,0.25,0.119,0.66
543,0.25,0.119,0.65
544,0.25,0.206,0.68
545,0.3,0.439,0.8
546,0.52,0.616,1
547,0.87,0.829,1
548,0.87,0.986,0.93
549,0.87,1,0.89
550,1,0.692,0.85
551,1,0.384,0.71
552,1,0.16,0.58
553,1,0.067,0.45
554,1,0.067,0.41
555,1,0.067,0.39
556,1,0.067,0.38
557,1,0.187,0.38
558,1,0.394,0.43
559,1,0.44,0.54
560,0.85,0.393,0.65
561,0.39,0.172,0.66
562,0.25,0.119,0.67
563,0.25,0.119,0.69
564,0.25,0.119,0.7
565,0.25,0.119,0.69
566,0.25,0.119,0.66
567,0.25,0.119,0.65
568,0.25,0.206,0.68
569,0.3,0.439,0.8
570,0.52,0.616,1
571,0.87,0.829,1
572,0.87,0.986,0.93
573,0.87,1,0.89
574,1,0.692,0.85
575,1,0.384,0.71
576,1,0.16,0.58
577,1,0.067,0.45
578,1,0.067,0.41
579,1,0.067,0.39
580,1,0.067,0.38
581,1,0.187,0.38
582,1,0.394,0.43
583,1,0.44,0.54
584,0.85,0.393,0.65
585,0.39,0.172,0.66
586,0.25,0.119,0.67
587,0.25,0.119,0.69
588,0.25,0.119,0.7
589,0.25,0.119,0.69
590,0.25,0.119,0.66
591,0.25,0.119,0.65
592,0.25,0.206,0.68
593,0.3,0.439,0.8
594,0.52,0.616,1
